lad,pop,hd_mort,edu_lv3,income,health_eat,community,fuel_poverty,gp_access,ae_attn,obesity,chd_emer_elec_ratio,test
E06000017,39697,31.63,67.4,18254,35.280652242082155,518.78,8,83.18648979847403,368.57403743722415,9.12245220176382,0.8579481397970686,FALSE
E06000018,331069,62.01,42.6,12232,24.219375195299104,883.53,12.6,86.10433909824812,399.39191224844905,8.61389191931585,2.1153846153846154,FALSE
E06000019,192107,33.7,56.00000000000001,19089,28.926181379964618,575.29,12.2,72.17342850319739,287.0439334632796,10.3256407917541,1.3846153846153846,FALSE
E06000020,177799,42,54.1,16291,23.210549719709284,788.83,11,58.0386087465752,291.6300527240773,10.972296199408,1.0973370064279155,FALSE
E06000021,255833,50.79,46.7,14075,20.26033366282706,1126.93,14.7,70.7587094153096,322.10067319461444,15.1674449749115,1.672926447574335,FALSE
E06000022,192106,28.23,58.4,21955,29.889856557377048,558.76,10.9,93.2707740527335,266.9226795063675,8.51839389860924,1.2394366197183098,FALSE
E06000030,221996,34.9,50.2,18536,24.01124844984484,849.2,9.1,66.59349603522055,247.42226554465537,11.1500787359543,1.2922705314009661,FALSE
E06000031,201041,46.07,53.1,16563,24.154125306863058,590.62,11.4,70.15819966376633,343.4132863646487,8.71007314609836,0.9432387312186978,FALSE
E06000032,214109,46.64,59.099999999999994,14889,26.06199037860324,772.49,13.9,61.782877316857906,311.8902537466961,10.6493918681493,0.820069204152249,FALSE
E06000033,182463,33.64,60.6,19088,26.27918529557874,636.34,11.4,75.3281780062791,340.8806500592328,8.74833555259654,0.7680577849117175,FALSE
E06000034,172525,41.87,50.6,17507,23.03068428042217,658.04,9.1,56.47090087695987,396.6472085017213,10.2085754480396,1.0243654822335027,FALSE
E06000035,277855,38.46,51.1,17884,22.424858524153958,483.08,10.3,56.65330483101175,371.02124634704995,11.2504858948545,1.0042462845010616,FALSE
E06000042,268607,34.85,57.400000000000006,20039,23.752926436012757,621.48,6.9,54.85718845272806,278.36412097194545,9.21455466798044,0.9933166248955723,FALSE
E06000043,290395,34.65,56.400000000000006,20508,26.529512510965368,487.89,11.7,72.75911581577135,311.4660009888358,5.33962949509626,0.6134259259259259,FALSE
E06000044,215133,35.44,43.5,15066,24.011175600717763,640.35,12.1,60.69606766965842,402.22127057421613,10.478590494254,1.2386706948640482,FALSE
E06000045,252796,48.53,46.900000000000006,14797,24.621714761046523,856.65,11.5,68.48867183601264,411.0903549306853,9.31022462548249,2.5564102564102567,FALSE
E06000046,141538,40.55,48.1,16781,25.632344495967224,716.38,11,65.52266394460231,337.6300090130045,10.5472620246947,2.1282722513089003,FALSE
